GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.ParentType,0,34,0,0,0,4,0,1,0,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParser,59,85,2,0,18,20,2,5,1,5
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintRule,26,177,0,0,4,37,2,19,2,19
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler,24,251,14,30,8,65,14,20,0,5
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.hints,VendorDuplicatingHintRule,8,15,0,0,4,6,2,3,2,3
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.hints,EvidenceMatcher,47,84,2,16,6,17,8,12,6,5
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.agent,DependencyCheckScanAgent,395,405,27,13,131,99,81,18,62,17
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.artifactory,ArtifactorySearch,463,0,28,0,88,0,22,0,8,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackage,114,31,24,0,17,13,14,9,2,9
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNuspecParser,12,97,4,6,3,19,4,4,0,3
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathMSBuildProjectParser,12,70,3,5,3,18,3,3,0,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetconfParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nuget,MSBuildProjectParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nuget,XPathNugetconfParser,12,70,3,5,3,18,3,3,0,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nuget,NugetPackageReference,63,17,14,0,11,7,9,5,2,5
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nuget,NuspecParseException,12,0,0,0,6,0,3,0,3,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.update.cpe,CpePlus,8,15,0,0,4,6,2,3,2,3
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,Filter.FilterIterator,8,52,2,8,2,17,3,7,1,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,ExtractionUtil,761,61,72,6,160,16,46,3,8,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,UrlStringUtils,11,178,3,15,1,27,2,11,0,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,H2DBShutdownHookFactory,9,21,0,0,3,4,0,2,0,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersion,32,324,11,55,8,81,12,32,2,9
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,Filter,0,16,0,0,0,3,0,3,0,3
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,H2DBLock,193,279,35,23,43,66,31,8,2,8
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,Pair,65,49,18,2,14,12,14,4,4,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,DependencyVersionUtil,16,103,6,20,3,31,5,12,0,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,Filter.new Iterable() {...},0,16,0,0,0,2,0,2,0,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,FileFilterBuilder,9,132,3,13,1,24,2,13,0,7
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,H2DBShutdownHook,0,3,0,0,0,1,0,1,0,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,DateUtil,23,21,0,2,5,2,1,2,1,1
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,H2DBCleanupHook,15,20,2,0,6,8,2,4,1,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.utils,DBUtils,23,38,3,7,7,15,3,6,0,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,60,121,6,4,17,26,6,7,1,7
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveParser,43,120,1,7,7,26,1,8,0,5
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,34,0,0,0,14,0,9,0,9
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,14,84,0,0,6,24,1,6,1,6
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.update.nvd,UpdateableNvdCve,32,76,1,3,8,19,6,8,5,7
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexEntry,107,58,17,7,19,18,15,10,4,9
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,79,283,13,11,21,72,15,12,4,11
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,47,87,2,0,14,17,1,4,0,4
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,443,343,65,61,97,91,60,43,22,18
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,17,7,0,0,4,2,3,2,3,2
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,54,166,12,18,11,45,11,15,0,7
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.xml.suppression,PropertyType,114,58,22,6,18,20,15,10,3,8
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nexus,NexusSearch,304,0,27,0,75,0,19,0,5,0
Dependency-Check Maven Plugin/dependency-check-core,org.owasp.dependencycheck.data.nexus,MavenArtifact,110,93,1,3,32,14,12,7,11,6
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils.search,FileContentSearch,72,0,6,0,10,0,6,0,3,0
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,83,80,12,10,18,23,11,8,1,7
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,HttpResourceConnection,549,108,45,11,113,30,34,6,7,5
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,517,305,61,29,109,79,58,26,18,21
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,175,117,6,6,40,31,15,7,11,5
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,184,90,40,4,40,29,22,6,1,5
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,39,71,0,0,6,17,0,5,0,5
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,72,79,9,2,12,25,6,5,1,4
Dependency-Check Maven Plugin/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,27,168,2,6,7,39,2,14,0,12
